Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%),hour,day_of_week,month,is_weekend,lag_1,rolling_3h,rolling_6h
2023-01-01 15:00:00,163.5,96.1,7.040999999999999,91.2,5,29.5,21.9,74.2,2.8,20.3,0.3829787234042553,0.9646907216494846,0.75,15,6,1,1,132.9,143.03333333333333,137.81666666666666
2023-01-01 16:00:00,172.9,103.2,7.051,92.0,6,28.7,23.8,70.8,2.8,18.5,0.36170212765957444,0.9646907216494846,0.81,16,6,1,1,163.5,156.4333333333333,144.76666666666668
2023-01-01 17:00:00,147.7,107.5,7.523,91.4,6,27.2,23.7,70.10000000000001,2.6,20.3,0.36170212765957444,0.965721649484536,0.81,17,6,1,1,172.9,161.36666666666667,147.16666666666666
2023-01-01 18:00:00,136.6,103.8,7.48,88.6,5,27.5,23.3,70.0,2.8,18.9,0.3404255319148936,0.9666237113402062,0.8,18,6,1,1,147.7,152.4,147.71666666666667
2023-01-01 19:00:00,138.2,101.3,7.53,89.2,6,26.0,17.4,68.9,2.8,19.0,0.2978723404255319,0.9666237113402062,0.93,19,6,1,1,136.6,140.83333333333331,148.63333333333333
2023-01-01 20:00:00,139.8,99.6,7.545,90.6,5,29.4,15.2,67.4,2.7,22.2,0.3404255319148936,0.9685567010309278,0.87,20,6,1,1,138.2,138.2,149.78333333333333
2023-01-01 21:00:00,136.3,97.1,7.515,89.4,6,30.7,15.2,66.8,2.7,22.0,0.3404255319148936,0.9695876288659794,0.8,21,6,1,1,139.8,138.1,145.25
2023-01-01 22:00:00,138.0,98.1,7.485,88.7,6,30.4,14.9,64.6,2.8,19.6,0.3404255319148936,0.9704896907216495,0.8,22,6,1,1,136.3,138.03333333333333,139.43333333333334
2023-01-01 23:00:00,135.7,95.9,7.497,89.1,5,31.2,14.6,65.9,2.7,17.9,0.3404255319148936,0.971520618556701,0.8,23,6,1,1,138.0,136.66666666666666,137.4333333333333
2023-01-02 00:00:00,131.7,95.7,7.17,86.6,6,29.9,14.5,64.8,2.8,14.0,0.3404255319148936,0.9721649484536082,0.8,0,0,1,0,135.7,135.13333333333333,136.61666666666667
2023-01-02 01:00:00,131.0,96.6,7.14,87.3,5,28.6,14.8,64.10000000000001,2.7,11.9,0.3404255319148936,0.9731958762886599,0.8,1,0,1,0,131.7,132.79999999999998,135.41666666666666
2023-01-02 02:00:00,130.6,96.3,7.056999999999999,89.0,5,30.0,14.1,64.8,2.8,11.4,0.3404255319148936,0.9731958762886599,0.8,2,0,1,0,131.0,131.1,133.88333333333335
2023-01-02 03:00:00,128.0,96.2,7.029999999999999,87.6,6,27.6,14.1,67.3,2.8,10.8,0.3191489361702128,0.9740979381443299,0.86,3,0,1,0,130.6,129.86666666666667,132.5
2023-01-02 04:00:00,128.9,96.5,7.253,95.5,5,36.5,14.5,69.6,2.6,11.0,0.2765957446808511,0.9751288659793815,0.93,4,0,1,0,128.0,129.16666666666666,130.98333333333332
2023-01-02 05:00:00,130.2,106.9,7.039,100.2,5,48.4,16.6,93.4,2.8,11.1,0.2978723404255319,0.9760309278350515,0.93,5,0,1,0,128.9,129.03333333333333,130.0666666666667
2023-01-02 06:00:00,144.3,115.7,7.089,112.9,6,53.1,19.5,115.0,2.7,11.9,0.2765957446808511,0.9760309278350515,0.93,6,0,1,0,130.2,134.46666666666667,132.16666666666666
2023-01-02 07:00:00,176.8,128.2,7.122,107.9,6,82.89999999999999,22.1,125.0,5.5,13.4,0.2765957446808511,0.9760309278350515,0.93,7,0,1,0,144.3,150.43333333333334,139.79999999999998
2023-01-02 08:00:00,180.9,137.3,7.118,128.7,5,122.1,28.7,137.4,10.5,15.2,0.2765957446808511,0.9770618556701032,0.93,8,0,1,0,176.8,167.33333333333334,148.18333333333334
2023-01-02 09:00:00,218.8,152.3,7.047,146.4,7,133.7,31.1,158.3,12.0,16.3,0.2765957446808511,0.9770618556701032,0.93,9,0,1,0,180.9,192.16666666666666,163.31666666666666
2023-01-02 10:00:00,228.9,175.2,6.956,156.0,6,133.5,37.4,159.5,15.3,14.5,0.2765957446808511,0.9780927835051546,1.0,10,0,1,0,218.8,209.53333333333333,179.98333333333335
2023-01-02 11:00:00,230.1,174.9,7.085,158.5,5,142.1,40.2,159.4,15.7,15.1,0.2765957446808511,0.9780927835051546,0.93,11,0,1,0,228.9,225.93333333333337,196.63333333333333
2023-01-02 12:00:00,212.4,178.7,7.048999999999999,155.5,5,135.7,39.2,161.5,13.9,21.3,0.2765957446808511,0.9780927835051546,0.93,12,0,1,0,230.1,223.79999999999998,207.98333333333335
2023-01-02 13:00:00,203.4,182.5,7.061,154.3,6,138.1,39.7,165.0,11.6,19.0,0.2978723404255319,0.9770618556701032,0.86,13,0,1,0,212.4,215.29999999999998,212.41666666666666
2023-01-02 14:00:00,207.2,193.9,7.062,158.7,6,136.3,38.3,162.6,12.4,19.2,0.2978723404255319,0.9770618556701032,0.86,14,0,1,0,203.4,207.66666666666666,216.79999999999998
2023-01-02 15:00:00,208.6,191.4,7.096,158.9,13,138.4,38.0,163.6,16.7,16.9,0.3191489361702128,0.9760309278350515,0.8,15,0,1,0,207.2,206.4,215.1
2023-01-02 16:00:00,203.7,174.1,7.154,149.2,19,131.7,38.0,150.1,33.5,19.6,0.3191489361702128,0.9751288659793815,0.86,16,0,1,0,208.6,206.5,210.89999999999998
2023-01-02 17:00:00,189.5,157.0,7.367,133.5,19,121.3,32.0,142.2,35.6,23.3,0.3191489361702128,0.9740979381443299,0.86,17,0,1,0,203.7,200.6,204.13333333333333
2023-01-02 18:00:00,180.5,143.1,7.529,113.0,14,106.7,28.9,132.2,39.5,20.6,0.3404255319148936,0.9731958762886599,0.8,18,0,1,0,189.5,191.23333333333335,198.81666666666663
2023-01-02 19:00:00,174.3,125.8,7.539,107.9,4,100.4,21.1,118.3,34.5,23.4,0.3404255319148936,0.9721649484536082,0.8,19,0,1,0,180.5,181.4333333333333,193.96666666666667
2023-01-02 20:00:00,138.6,114.1,7.387,99.0,5,94.2,20.6,96.4,21.2,25.1,0.3404255319148936,0.971520618556701,0.87,20,0,1,0,174.3,164.46666666666667,182.53333333333333
2023-01-02 21:00:00,134.7,110.7,7.494000000000001,96.7,5,80.10000000000001,19.5,79.10000000000001,10.5,21.3,0.3404255319148936,0.9695876288659794,0.93,21,0,1,0,138.6,149.20000000000002,170.21666666666667
2023-01-02 22:00:00,133.7,107.0,7.476,94.9,4,78.0,17.4,73.2,3.0,21.9,0.36170212765957444,0.9685567010309278,0.93,22,0,1,0,134.7,135.66666666666666,158.54999999999998
2023-01-02 23:00:00,135.3,102.2,7.515,90.4,5,38.5,16.9,71.5,2.7,17.6,0.36170212765957444,0.9675257731958762,0.93,23,0,1,0,133.7,134.56666666666663,149.51666666666665
2023-01-03 00:00:00,156.7,101.6,7.037,88.8,4,35.4,18.0,70.60000000000001,2.8,12.7,0.36170212765957444,0.9667525773195876,0.93,0,1,1,0,135.3,141.9,145.54999999999998
2023-01-03 01:00:00,158.2,100.0,6.972,90.6,4,35.5,16.9,70.8,2.8,10.4,0.3404255319148936,0.9645618556701031,1.0,1,1,1,0,156.7,150.06666666666663,142.86666666666665
2023-01-03 02:00:00,132.0,97.6,7.046,89.9,4,35.2,18.0,71.0,2.8,9.6,0.3404255319148936,0.9627577319587629,1.0,2,1,1,0,158.2,148.96666666666667,141.76666666666665
2023-01-03 03:00:00,128.7,98.7,7.141,88.6,4,35.40000000000001,17.0,70.10000000000001,2.8,9.4,0.3404255319148936,0.9618556701030927,1.0,3,1,1,0,132.0,139.63333333333333,140.76666666666668
2023-01-03 04:00:00,152.2,97.9,6.972,96.1,5,36.40000000000001,17.2,71.1,2.7,9.4,0.3404255319148936,0.9597938144329896,0.93,4,1,1,0,128.7,137.63333333333333,143.85
2023-01-03 05:00:00,157.0,102.3,6.977,98.1,4,36.9,19.4,75.0,2.9,9.9,0.3404255319148936,0.9597938144329896,0.93,5,1,1,0,152.2,145.96666666666667,147.46666666666667
2023-01-03 06:00:00,171.4,105.9,7.036,118.5,4,47.3,22.9,89.2,2.8,11.2,0.3404255319148936,0.9588917525773196,0.93,6,1,1,0,157.0,160.2,149.91666666666666
2023-01-03 07:00:00,201.1,121.2,7.082999999999999,117.9,5,90.1,27.0,134.1,6.8,11.9,0.3404255319148936,0.9588917525773196,1.0,7,1,1,0,171.4,176.5,157.06666666666666
2023-01-03 08:00:00,185.3,138.9,7.133,130.7,5,122.2,31.2,158.7,12.1,15.8,0.3404255319148936,0.9608247422680413,1.0,8,1,1,0,201.1,185.9333333333333,165.95000000000002
2023-01-03 09:00:00,195.8,171.5,6.963,153.9,4,134.9,33.4,213.6,12.6,16.7,0.3404255319148936,0.9618556701030927,1.0,9,1,1,0,185.3,194.0666666666667,177.13333333333333
2023-01-03 10:00:00,217.0,186.3,7.02,169.4,4,136.2,35.4,224.6,18.1,18.7,0.3404255319148936,0.9636597938144329,1.0,10,1,1,0,195.8,199.36666666666667,187.93333333333337
2023-01-03 11:00:00,219.9,199.6,7.182,169.7,3,142.8,38.8,219.4,19.7,18.6,0.36170212765957444,0.965721649484536,0.93,11,1,1,0,217.0,210.9,198.41666666666666
2023-01-03 12:00:00,216.4,204.8,7.141,166.7,4,147.3,35.9,209.2,12.7,17.2,0.36170212765957444,0.9667525773195876,0.93,12,1,1,0,219.9,217.76666666666665,205.91666666666666
2023-01-03 13:00:00,209.7,203.6,7.051,162.8,3,144.8,35.6,173.5,16.7,19.7,0.36170212765957444,0.9675257731958762,0.87,13,1,1,0,216.4,215.33333333333334,207.35000000000002
2023-01-03 14:00:00,212.4,208.7,7.095,160.0,4,141.6,33.6,170.1,21.5,19.1,0.36170212765957444,0.9695876288659794,0.87,14,1,1,0,209.7,212.83333333333334,211.86666666666667
2023-01-03 15:00:00,212.9,201.0,7.084,158.7,3,137.5,34.7,166.6,19.9,20.3,0.36170212765957444,0.9704896907216495,0.87,15,1,1,0,212.4,211.66666666666666,214.71666666666667
2023-01-03 16:00:00,205.5,183.8,7.138,151.3,4,136.5,33.0,156.4,31.7,19.7,0.36170212765957444,0.971520618556701,0.87,16,1,1,0,212.9,210.26666666666665,212.79999999999998
2023-01-03 17:00:00,193.1,170.4,7.418,140.2,4,128.0,30.0,140.3,37.5,25.9,0.36170212765957444,0.9731958762886599,0.93,17,1,1,0,205.5,203.83333333333334,208.33333333333334
2023-01-03 18:00:00,208.3,160.0,7.585,121.5,3,109.3,24.2,134.0,27.0,24.7,0.3404255319148936,0.9740979381443299,0.93,18,1,1,0,193.1,202.30000000000004,206.98333333333335
2023-01-03 19:00:00,197.5,143.4,7.678,113.7,4,101.2,24.7,121.7,30.6,26.4,0.3404255319148936,0.9740979381443299,0.93,19,1,1,0,208.3,199.63333333333335,204.94999999999996
2023-01-03 20:00:00,144.9,121.8,7.552,103.2,3,94.7,18.6,104.1,25.6,25.7,0.3404255319148936,0.9751288659793815,0.93,20,1,1,0,197.5,183.5666666666667,193.70000000000002
2023-01-03 21:00:00,140.4,114.6,7.513999999999999,101.7,3,80.50000000000001,16.3,94.5,13.1,23.1,0.3404255319148936,0.9751288659793815,0.93,21,1,1,0,144.9,160.93333333333334,181.61666666666667
2023-01-03 22:00:00,137.8,110.6,7.627,98.2,4,75.6,15.7,78.5,3.1,23.7,0.3404255319148936,0.9751288659793815,0.93,22,1,1,0,140.4,141.03333333333333,170.33333333333334
2023-01-03 23:00:00,135.7,105.0,7.594,88.4,3,39.40000000000001,15.5,71.1,2.9,20.5,0.3404255319148936,0.9760309278350515,0.93,23,1,1,0,137.8,137.96666666666667,160.76666666666668
2023-01-04 00:00:00,135.6,106.5,7.132,89.1,3,35.6,15.7,71.0,2.8,13.9,0.3404255319148936,0.9760309278350515,0.93,0,2,1,0,135.7,136.36666666666667,148.65
2023-01-04 01:00:00,156.3,103.3,7.287,88.0,2,38.3,16.0,69.6,2.9,12.7,0.3404255319148936,0.9760309278350515,1.0,1,2,1,0,135.6,142.53333333333333,141.78333333333333
2023-01-04 02:00:00,159.5,103.7,7.167,88.0,3,37.2,15.5,68.8,2.9,11.9,0.3404255319148936,0.9760309278350515,1.0,2,2,1,0,156.3,150.46666666666667,144.21666666666667
2023-01-04 03:00:00,131.7,102.2,7.145,88.3,3,37.3,15.4,79.30000000000001,2.9,11.0,0.3404255319148936,0.9770618556701032,0.93,3,2,1,0,159.5,149.16666666666666,142.76666666666668
2023-01-04 04:00:00,129.9,102.8,7.174,94.5,2,38.40000000000001,16.2,112.5,2.9,11.0,0.3404255319148936,0.9770618556701032,0.93,4,2,1,0,131.7,140.36666666666667,141.45000000000002
2023-01-04 05:00:00,129.2,108.8,7.17,95.6,3,36.8,16.8,117.7,2.8,11.2,0.3404255319148936,0.9770618556701032,0.93,5,2,1,0,129.9,130.26666666666668,140.36666666666665
2023-01-04 06:00:00,144.1,111.8,7.241000000000001,115.9,3,47.3,21.9,125.3,2.9,11.4,0.3404255319148936,0.9770618556701032,0.87,6,2,1,0,129.2,134.4,141.78333333333333
2023-01-04 07:00:00,177.6,124.8,7.181,114.8,4,91.0,24.9,157.9,5.8,12.9,0.3404255319148936,0.9770618556701032,0.87,7,2,1,0,144.1,150.29999999999998,145.33333333333334
2023-01-04 08:00:00,181.2,144.1,7.122000000000001,131.8,4,126.3,30.6,194.7,19.4,15.0,0.3404255319148936,0.9770618556701032,0.87,8,2,1,0,177.6,167.63333333333333,148.95
2023-01-04 09:00:00,214.1,162.6,7.217000000000001,159.5,5,134.6,35.4,172.8,33.4,17.7,0.3404255319148936,0.9770618556701032,0.87,9,2,1,0,181.2,190.96666666666667,162.68333333333334
2023-01-04 10:00:00,232.3,174.3,7.167,174.0,5,134.3,37.1,176.7,28.9,20.7,0.3191489361702128,0.9770618556701032,0.86,10,2,1,0,214.1,209.20000000000002,179.75
2023-01-04 11:00:00,221.2,187.8,6.956,181.1,4,142.2,36.5,171.9,28.6,21.6,0.3191489361702128,0.9770618556701032,0.86,11,2,1,0,232.3,222.53333333333333,195.08333333333334
2023-01-04 12:00:00,217.0,201.0,7.085,171.5,5,149.5,37.2,178.9,27.2,19.1,0.3191489361702128,0.9770618556701032,0.86,12,2,1,0,221.2,223.5,207.23333333333335
2023-01-04 13:00:00,218.3,196.1,7.148999999999999,174.7,5,150.8,29.5,175.2,25.8,19.6,0.3191489361702128,0.9770618556701032,0.8,13,2,1,0,217.0,218.83333333333334,214.01666666666665
2023-01-04 14:00:00,221.1,200.9,7.039,172.7,6,146.0,31.1,169.4,25.8,22.4,0.2978723404255319,0.9770618556701032,0.86,14,2,1,0,218.3,218.79999999999998,220.66666666666666
2023-01-04 15:00:00,242.0,201.8,7.085999999999999,173.4,5,140.6,31.7,166.7,26.9,24.4,0.2978723404255319,0.9760309278350515,0.86,15,2,1,0,221.1,227.13333333333333,225.3166666666667
2023-01-04 16:00:00,220.9,188.0,7.194,163.3,16,140.3,28.2,167.0,46.9,22.2,0.2978723404255319,0.9760309278350515,0.86,16,2,1,0,242.0,228.0,223.41666666666666
2023-01-04 17:00:00,196.3,173.9,7.508,145.1,19,129.8,25.3,145.9,42.6,20.3,0.2765957446808511,0.9751288659793815,0.86,17,2,1,0,220.9,219.73333333333335,219.26666666666665
2023-01-04 18:00:00,190.3,157.0,7.596,120.4,12,116.1,21.5,134.9,44.1,24.0,0.2765957446808511,0.9751288659793815,0.86,18,2,1,0,196.3,202.5,214.8166666666667
2023-01-04 19:00:00,183.5,135.1,7.545,108.7,5,103.7,16.7,122.0,44.4,21.8,0.2765957446808511,0.9740979381443299,0.86,19,2,1,0,190.3,190.03333333333333,209.01666666666668
2023-01-04 20:00:00,146.5,122.2,7.72,98.3,4,93.8,14.1,106.6,40.9,26.4,0.2553191489361702,0.9731958762886599,0.93,20,2,1,0,183.5,173.4333333333333,196.58333333333334
2023-01-04 21:00:00,142.7,116.2,7.675999999999999,98.5,5,81.6,17.7,91.6,22.9,23.7,0.2553191489361702,0.9731958762886599,0.86,21,2,1,0,146.5,157.5666666666667,180.03333333333333
2023-01-04 22:00:00,141.0,113.5,7.548999999999999,96.1,4,76.4,14.8,75.30000000000001,3.5,18.4,0.2553191489361702,0.9721649484536082,0.8,22,2,1,0,142.7,143.4,166.71666666666667
2023-01-04 23:00:00,140.9,109.3,7.624,88.2,4,38.7,13.5,69.5,3.3,17.8,0.2553191489361702,0.9721649484536082,0.8,23,2,1,0,141.0,141.53333333333333,157.48333333333332
2023-01-05 00:00:00,140.5,106.6,7.301,84.3,4,36.40000000000001,13.6,68.39999999999999,3.2,14.5,0.23404255319148937,0.9713917525773195,0.86,0,3,1,0,140.9,140.79999999999998,149.18333333333334
2023-01-05 01:00:00,140.2,103.5,7.090000000000001,84.3,4,36.2,13.7,71.3,3.2,11.1,0.23404255319148937,0.9713917525773195,0.8,1,3,1,0,140.5,140.53333333333333,141.96666666666667
2023-01-05 02:00:00,139.4,103.4,7.250999999999999,82.5,4,36.3,13.7,68.3,3.3,10.3,0.2127659574468085,0.970360824742268,0.86,2,3,1,0,140.2,140.03333333333333,140.78333333333333
2023-01-05 03:00:00,134.9,103.9,7.266,83.3,4,36.0,13.7,68.1,3.3,10.2,0.2127659574468085,0.970360824742268,0.86,3,3,1,0,139.4,138.16666666666666,139.48333333333332
2023-01-05 04:00:00,135.1,105.1,7.145,88.4,3,37.90000000000001,13.6,68.5,3.2,10.5,0.23404255319148937,0.9704896907216495,0.8,4,3,1,0,134.9,136.46666666666667,138.5
2023-01-05 05:00:00,134.9,111.2,7.259,90.7,5,37.0,14.4,72.4,3.2,10.1,0.23404255319148937,0.9704896907216495,0.8,5,3,1,0,135.1,134.96666666666667,137.5
2023-01-05 06:00:00,149.9,111.9,7.267,111.8,4,54.0,18.8,109.9,3.3,10.4,0.2127659574468085,0.970360824742268,0.8,6,3,1,0,134.9,139.96666666666667,139.06666666666666
2023-01-05 07:00:00,184.2,127.3,7.27,112.4,4,93.9,21.8,131.6,6.4,12.1,0.19148936170212766,0.970360824742268,0.86,7,3,1,0,149.9,156.33333333333334,146.4
2023-01-05 08:00:00,190.9,141.6,7.31,127.8,6,129.6,24.8,152.7,21.2,16.2,0.19148936170212766,0.9713917525773195,0.86,8,3,1,0,184.2,175.0,154.98333333333332
2023-01-05 09:00:00,222.5,165.5,7.232,148.2,7,135.3,28.7,172.6,25.9,18.3,0.1702127659574468,0.9713917525773195,0.93,9,3,1,0,190.9,199.20000000000002,169.58333333333334
2023-01-05 10:00:00,233.6,200.8,7.324,163.8,7,140.6,32.4,165.1,28.3,17.5,0.1702127659574468,0.9720360824742267,0.93,10,3,1,0,222.5,215.66666666666666,186.0
2023-01-05 11:00:00,239.4,217.1,7.387,175.6,7,151.1,32.5,185.1,26.0,19.4,0.14893617021276595,0.9730670103092783,0.93,11,3,1,0,233.6,231.83333333333334,203.41666666666666
2023-01-05 12:00:00,245.4,212.0,7.235,174.7,7,149.6,32.5,186.5,16.5,22.4,0.2127659574468085,0.9730670103092783,0.86,12,3,1,0,239.4,239.46666666666667,219.33333333333334
2023-01-05 13:00:00,246.1,221.1,7.323,173.6,7,146.2,32.1,180.5,25.8,19.5,0.23404255319148937,0.9730670103092783,0.8,13,3,1,0,245.4,243.63333333333333,229.65
2023-01-05 14:00:00,246.0,228.3,7.415,174.0,7,147.2,30.0,166.3,26.7,19.2,0.2127659574468085,0.9739690721649483,0.93,14,3,1,0,246.1,245.83333333333334,238.83333333333334
2023-01-05 15:00:00,244.5,229.7,7.297,172.5,7,142.6,29.0,168.6,28.7,22.3,0.2127659574468085,0.975,0.74,15,3,1,0,246.0,245.53333333333333,242.5
2023-01-05 16:00:00,238.5,225.8,7.363,169.6,7,133.2,28.6,158.3,56.6,23.6,0.2127659574468085,0.9759020618556701,0.8,16,3,1,0,244.5,243.0,243.3166666666667
2023-01-05 17:00:00,217.1,205.8,7.755999999999999,152.5,7,122.6,26.8,140.9,55.7,25.6,0.19148936170212766,0.9769329896907216,0.79,17,3,1,0,238.5,233.36666666666667,239.6
2023-01-05 18:00:00,188.5,190.2,7.813,130.3,7,112.7,24.7,134.9,53.1,29.9,0.19148936170212766,0.9779639175257732,0.86,18,3,1,0,217.1,214.70000000000002,230.11666666666665
2023-01-05 19:00:00,205.5,164.6,7.875,121.6,6,102.5,17.6,118.0,51.2,24.0,0.19148936170212766,0.9779639175257732,0.93,19,3,1,0,188.5,203.70000000000002,223.35
2023-01-05 20:00:00,170.5,151.1,7.837,111.1,7,96.5,16.0,101.4,52.7,28.1,0.2127659574468085,0.9788659793814433,0.86,20,3,1,0,205.5,188.16666666666666,210.76666666666665
2023-01-05 21:00:00,163.9,148.5,7.958,109.4,7,83.60000000000001,18.9,85.9,33.2,26.2,0.2127659574468085,0.9798969072164948,0.86,21,3,1,0,170.5,179.96666666666667,197.33333333333334
2023-01-05 22:00:00,145.7,136.8,7.986,100.7,6,78.9,16.8,72.5,11.8,22.2,0.19148936170212766,0.9807989690721649,0.86,22,3,1,0,163.9,160.03333333333333,181.86666666666667
2023-01-05 23:00:00,143.0,133.1,7.845,93.2,7,37.90000000000001,14.2,67.2,9.6,17.6,0.19148936170212766,0.9818298969072164,0.86,23,3,1,0,145.7,150.86666666666667,169.51666666666665
2023-01-06 00:00:00,163.5,129.7,7.664000000000001,92.1,6,38.2,14.1,66.9,6.5,15.4,0.19148936170212766,0.9828608247422681,0.79,0,4,1,0,143.0,150.73333333333332,165.35
2023-01-06 01:00:00,161.5,129.1,7.619000000000001,93.2,6,35.7,14.2,66.60000000000001,6.0,13.9,0.19148936170212766,0.9837628865979381,0.79,1,4,1,0,163.5,156.0,158.01666666666665
2023-01-06 02:00:00,153.7,128.6,7.497,92.5,6,37.8,14.0,65.8,5.9,12.4,0.19148936170212766,0.9837628865979381,0.79,2,4,1,0,161.5,159.56666666666666,155.21666666666667
2023-01-06 03:00:00,130.3,127.0,7.723000000000001,93.7,6,35.7,14.3,65.2,5.8,12.3,0.1702127659574468,0.9847938144329897,0.93,3,4,1,0,153.7,148.5,149.61666666666667
2023-01-06 04:00:00,131.3,126.9,7.546,97.8,6,37.40000000000001,14.0,65.9,5.7,12.2,0.1702127659574468,0.9847938144329897,0.93,4,4,1,0,130.3,138.43333333333334,147.21666666666667
2023-01-06 05:00:00,129.4,131.0,7.425000000000001,100.9,7,38.9,15.1,71.0,5.9,12.2,0.23404255319148937,0.9858247422680412,0.68,5,4,1,0,131.3,130.33333333333334,144.95
2023-01-06 06:00:00,164.1,134.1,7.631,121.8,6,51.8,18.9,105.1,5.9,11.2,0.2127659574468085,0.9858247422680412,0.8,6,4,1,0,129.4,141.6,145.05
2023-01-06 07:00:00,206.3,145.2,7.553,119.2,7,93.79999999999998,21.2,141.1,8.3,11.6,0.23404255319148937,0.9858247422680412,0.74,7,4,1,0,164.1,166.6,152.51666666666665
2023-01-06 08:00:00,201.8,163.4,7.507,138.5,7,123.8,27.0,151.5,14.1,16.6,0.2127659574468085,0.9867268041237114,0.86,8,4,1,0,206.3,190.73333333333335,160.53333333333333
2023-01-06 09:00:00,194.3,177.7,7.590999999999999,161.6,8,128.9,32.2,160.0,13.2,18.8,0.2127659574468085,0.9867268041237114,0.86,9,4,1,0,201.8,200.80000000000004,171.20000000000002
2023-01-06 10:00:00,212.6,185.6,7.586,176.9,8,136.1,34.4,206.2,24.4,16.2,0.2127659574468085,0.9877577319587628,0.8,10,4,1,0,194.3,202.9,184.75
2023-01-06 11:00:00,215.4,191.4,7.52,183.0,8,143.9,35.6,202.7,15.7,18.3,0.19148936170212766,0.9877577319587628,0.86,11,4,1,0,212.6,207.4333333333333,199.08333333333334
2023-01-06 12:00:00,232.2,191.7,7.523999999999999,179.8,7,147.8,36.4,205.7,13.2,25.0,0.2127659574468085,0.9877577319587628,0.74,12,4,1,0,215.4,220.0666666666667,210.43333333333337
2023-01-06 13:00:00,238.4,196.9,7.575,177.7,7,141.6,35.4,211.3,21.4,20.0,0.2127659574468085,0.9877577319587628,0.8,13,4,1,0,232.2,228.66666666666666,215.78333333333333
2023-01-06 14:00:00,221.6,194.9,7.608000000000001,172.0,6,141.5,35.3,209.6,20.8,20.6,0.19148936170212766,0.9877577319587628,0.86,14,4,1,0,238.4,230.73333333333335,219.08333333333334
2023-01-06 15:00:00,210.9,194.8,7.579000000000001,165.0,7,136.3,31.9,181.3,15.2,18.4,0.19148936170212766,0.9877577319587628,0.86,15,4,1,0,221.6,223.63333333333333,221.85000000000002
2023-01-06 16:00:00,223.7,187.4,7.615,153.9,7,132.9,28.7,167.5,33.4,23.2,0.1702127659574468,0.9876288659793814,0.86,16,4,1,0,210.9,218.73333333333335,223.69999999999996
2023-01-06 17:00:00,208.2,159.8,8.185,140.5,7,117.6,24.5,172.3,41.2,24.1,0.1702127659574468,0.9876288659793814,0.86,17,4,1,0,223.7,214.26666666666665,222.5
2023-01-06 18:00:00,182.9,161.8,8.123,117.0,7,108.7,21.6,167.4,48.1,21.9,0.1702127659574468,0.9876288659793814,0.86,18,4,1,0,208.2,204.9333333333333,214.28333333333333
2023-01-06 19:00:00,176.3,131.4,8.063,109.7,6,100.7,18.2,157.0,51.4,24.2,0.1702127659574468,0.9876288659793814,0.79,19,4,1,0,182.9,189.13333333333333,203.9333333333333
2023-01-06 20:00:00,159.4,118.6,8.219,101.3,8,93.79999999999998,15.3,134.3,36.4,25.2,0.14893617021276595,0.9876288659793814,0.86,20,4,1,0,176.3,172.86666666666667,193.5666666666667
